tanggal_masehi,tanggal_hijriah,confirmed_cases,deaths,recoveries,active_cases,passive_cases,add_conf_cases,add_deaths,add_recoveries,add_active_cases,add_passive_cases,percent_deaths,percent_recov,percent_active,percent_passive,deaths_rate,recov_rate,active_rate,passive_rate,suspect
23 Mar 2020,28 Rjb 1441,579,null,null,null,null,65,1,1,63,2,null,null,null,null,null,null,null,null,null
24 Mar 2020,29 Rjb 1441,685,55,30,600,85,106,6,0,100,6,0.0802919708029197,0.0437956204379562,0.875912408759124,0.124087591240876,0.0292397660818713,-0.00584795321637427,0.216374269005848,0.0233918128654971,null
25 Mar 2020,30 Rjb 1441,790,58,31,701,89,105,3,1,101,4,0.0734177215189873,0.0392405063291139,0.887341772151899,0.112658227848101,-0.014218009478673,0.004739336492891,0.004739336492891,-0.00947867298578199,null
26 Mar 2020,1 Syb 1441,893,78,35,780,113,103,20,4,79,24,0.0873460246360582,0.0391937290033595,0.873460246360582,0.126539753639418,0.0817307692307692,0.0144230769230769,-0.105769230769231,0.0961538461538462,null
27 Mar 2020,2 Syb 1441,1046,87,46,913,133,153,9,11,133,20,0.0831739961759082,0.0439770554493308,0.872848948374761,0.127151051625239,-0.04296875,0.02734375,0.2109375,-0.015625,null
28 Mar 2020,3 Syb 1441,1155,102,59,994,161,109,15,13,81,28,0.0883116883116883,0.0510822510822511,0.860606060606061,0.139393939393939,0.0229007633587786,0.00763358778625954,-0.198473282442748,0.0305343511450382,null
29 Mar 2020,4 Syb 1441,1285,114,64,1107,178,130,12,5,113,17,0.088715953307393,0.0498054474708171,0.86147859922179,0.13852140077821,-0.0125523012552301,-0.0334728033472803,0.133891213389121,-0.0460251046025105,null
30 Mar 2020,5 Syb 1441,1414,122,75,1217,197,129,8,11,110,19,0.0862800565770863,0.053041018387553,0.860678925035361,0.139321074964639,-0.0154440154440154,0.0231660231660232,-0.0115830115830116,0.00772200772200772,null
31 Mar 2020,6 Syb 1441,1528,136,81,1311,217,114,14,6,94,20,0.0890052356020942,0.0530104712041885,0.857984293193717,0.142015706806283,0.0246913580246914,-0.0205761316872428,-0.065843621399177,0.00411522633744856,null
1 Apr 2020,7 Syb 1441,1677,157,103,1417,260,149,21,22,106,43,0.0936195587358378,0.0614192009540847,0.844961240310078,0.155038759689922,0.026615969581749,0.0608365019011407,0.0456273764258555,0.0874524714828897,null
2 Apr 2020,8 Syb 1441,1790,170,112,1508,282,113,13,9,91,22,0.0949720670391061,0.0625698324022346,0.842458100558659,0.157541899441341,-0.0305343511450382,-0.049618320610687,-0.0572519083969466,-0.0801526717557252,null
3 Apr 2020,9 Syb 1441,1986,181,134,1671,315,196,11,22,163,33,0.0911379657603223,0.067472306143001,0.841389728096677,0.158610271903323,-0.00647249190938511,0.0420711974110032,0.233009708737864,0.0355987055016181,null
4 Apr 2020,10 Syb 1441,2092,191,150,1751,341,106,10,16,80,26,0.0913001912045889,0.0717017208413002,0.836998087954111,0.163001912045889,-0.0033112582781457,-0.0198675496688742,-0.274834437086093,-0.0231788079470199,null
5 Apr 2020,11 Syb 1441,2273,198,164,1911,362,181,7,14,160,21,0.0871095468543775,0.0721513418389793,0.840739111306643,0.159260888693357,-0.0104529616724739,-0.00696864111498258,0.278745644599303,-0.0174216027874564,null
6 Apr 2020,12 Syb 1441,2491,209,192,2090,401,218,11,28,179,39,0.0839020473705339,0.0770774789241269,0.839020473705339,0.160979526294661,0.0100250626566416,0.0350877192982456,0.0476190476190476,0.0451127819548872,null
7 Apr 2020,13 Syb 1441,2738,221,204,2313,425,247,12,12,223,24,0.0807158509861213,0.0745069393718042,0.844777209642075,0.155222790357926,0.0021505376344086,-0.0344086021505376,0.0946236559139785,-0.032258064516129,null
8 Apr 2020,14 Syb 1441,2956,240,222,2494,462,218,19,18,181,37,0.081190798376184,0.0751014884979702,0.843707713125846,0.156292286874154,0.0150537634408602,0.0129032258064516,-0.0903225806451613,0.0279569892473118,null
9 Apr 2020,15 Syb 1441,3293,280,252,2761,532,337,40,30,267,70,0.0850288490737929,0.0765259641664136,0.838445186759794,0.161554813240206,0.0378378378378378,0.0216216216216216,0.154954954954955,0.0594594594594595,null
10 Apr 2020,16 Syb 1441,3512,306,282,2924,588,219,26,30,163,56,0.087129840546697,0.0802961275626424,0.832574031890661,0.167425968109339,-0.0251798561151079,0,-0.18705035971223,-0.0251798561151079,null
11 Apr 2020,17 Syb 1441,3842,327,286,3229,613,330,21,4,305,25,0.0851119208745445,0.0744403956272775,0.840447683498178,0.159552316501822,-0.00910746812386157,-0.0473588342440802,0.258652094717669,-0.0564663023679417,null
12 Apr 2020,18 Syb 1441,4241,373,359,3509,732,399,46,73,280,119,0.087950954963452,0.0846498467342608,0.827399198302287,0.172600801697713,0.0342935528120713,0.0946502057613169,-0.0342935528120713,0.128943758573388,null
13 Apr 2020,19 Syb 1441,4557,399,380,3778,779,316,26,21,269,47,0.0875576036866359,0.0833881939872723,0.829054202326092,0.170945797673908,-0.027972027972028,-0.0727272727272727,-0.0153846153846154,-0.100699300699301,null
14 Apr 2020,20 Syb 1441,4839,459,426,3954,885,282,60,46,176,106,0.0948543087414755,0.088034717916925,0.8171109733416,0.1828890266584,0.0568561872909699,0.0418060200668896,-0.155518394648829,0.0986622073578595,null
15 Apr 2020,21 Syb 1441,5136,469,446,4221,915,297,10,20,267,30,0.091316199376947,0.0868380062305296,0.821845794392523,0.178154205607477,-0.0863557858376511,-0.0449050086355786,0.157167530224525,-0.13126079447323,null
16 Apr 2020,22 Syb 1441,5516,496,548,4472,1044,380,27,102,251,129,0.0899202320522118,0.0993473531544598,0.810732414793329,0.189267585206672,0.0251107828655835,0.121122599704579,-0.0236336779911374,0.146233382570162,null
