tanggal_masehi,tanggal_hijriah,total_vacc,vacc_doses1,vacc_doses2,vacc_doses3,add_total_vacc,add_vacc_doses1,add_vacc_doses2,add_vacc_doses3,percent_doses1,percent_doses2,percent_doses3,doses1_rate,doses2_rate,doses3_rate,vaccine_target,per_target_doses1,per_target_doses2,per_target_doses3
22 Jan 2021,9 JMk 1442,132000,132000,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null
23 Jan 2021,10 JMk 1442,149242,149242,null,null,17242,17242,null,null,1,null,null,null,null,null,null,null,null,null
24 Jan 2021,11 JMk 1442,149242,149242,null,null,0,0,null,null,1,null,null,-1,null,null,null,null,null,null
25 Jan 2021,12 JMk 1442,161959,161959,null,null,12717,12717,null,null,1,null,null,1,null,null,null,null,null,null
26 Jan 2021,13 JMk 1442,245685,245685,null,null,83726,83726,null,null,1,null,null,0.736279460406665,null,null,null,null,null,null
27 Jan 2021,14 JMk 1442,308003,308003,null,null,62318,62318,null,null,1,null,null,-0.146585960395497,null,null,null,null,null,null
28 Jan 2021,15 JMk 1442,373786,368318,5468,null,65783,60315,null,null,0.985371308716752,0.0146286912832476,null,-0.0156360996401277,null,null,null,null,null,null
29 Jan 2021,16 JMk 1442,416299,405012,11287,null,42513,36694,5819,null,0.972887275732106,0.027112724267894,null,-0.218115165841767,null,null,null,null,null,null
30 Jan 2021,17 JMk 1442,502955,482145,20810,null,86656,77133,9523,null,0.958624529033413,0.0413754709665875,null,0.313070473565639,0.0286756110212203,null,null,null,null,null
31 Jan 2021,18 JMk 1442,515681,493133,22548,null,12726,10988,1738,null,0.956275294222591,0.0437247057774089,null,-0.665563180455213,-0.0783341047674629,null,null,null,null,null
1 Feb 2021,19 JMk 1442,574938,539532,35406,null,59257,46399,12858,null,0.938417707648477,0.0615822923515231,null,0.491935595904589,0.1544809191059,null,null,null,null,null
2 Feb 2021,20 JMk 1442,648259,596260,51999,null,73321,56728,16593,null,0.919786690196357,0.0802133098036433,null,0.077908853655961,0.0281720949177088,null,null,null,null,null
3 Feb 2021,21 JMk 1442,717647,646026,71621,null,69388,49766,19622,null,0.900200237721331,0.099799762278669,null,-0.0487845896194354,0.0212250103357181,null,null,null,null,null
4 Feb 2021,22 JMk 1442,796819,700266,96553,null,79172,54240,24932,null,0.87882693560269,0.12117306439731,null,0.0301157781367798,0.0357431340872375,null,null,null,null,null
5 Feb 2021,23 JMk 1442,865609,744884,120725,null,68790,44618,24172,null,0.860531718131397,0.139468281868604,null,-0.0650302104594423,-0.0051364539543937,null,null,null,null,null
6 Feb 2021,24 JMk 1442,914303,777096,137207,null,48694,32212,16482,null,0.849932680960251,0.150067319039749,null,-0.105597357938102,-0.0654557216301794,null,null,null,null,null
7 Feb 2021,25 JMk 1442,923449,784318,139131,null,9146,7222,1924,null,0.849335480356793,0.150664519643207,null,-0.432053941908714,-0.251694329183956,null,null,null,null,null
8 Feb 2021,26 JMk 1442,985855,814585,171270,null,62406,30267,32139,null,0.826272626298999,0.173727373701001,null,0.32207345706619,0.422280299642218,null,null,null,null,null
9 Feb 2021,27 JMk 1442,1066860,845407,221453,null,81005,30822,50183,null,0.792425435389836,0.207574564610164,null,0.00386999602540949,0.125820195103583,null,null,null,null,null
10 Feb 2021,28 JMk 1442,1248797,969546,279251,null,181937,124139,57798,null,0.776383991953856,0.223616008046144,null,0.354895756478615,0.0289607594070175,null,null,null,null,null
