tanggal_masehi,tanggal_hijriah,total_vacc,vacc_doses1,vacc_doses2,vacc_doses3,add_total_vacc,add_vacc_doses1,add_vacc_doses2,add_vacc_doses3,percent_doses1,percent_doses2,percent_doses3,doses1_rate,doses2_rate,doses3_rate
15 Des 2020,30 RAk 1442,28506,28506,null,null,28500,28500,null,null,1,null,null,1,null,null
16 Des 2020,1 JMw 1442,28506,28506,null,null,0,0,null,null,1,null,null,-1,null,null
17 Des 2020,2 JMw 1442,28506,28506,null,null,0,0,null,null,1,null,null,null,null,null
18 Des 2020,3 JMw 1442,28506,28506,null,null,0,0,null,null,1,null,null,null,null,null
19 Des 2020,4 JMw 1442,28567,28567,null,null,61,61,null,null,1,null,null,1,null,null
20 Des 2020,5 JMw 1442,592134,592134,null,null,563567,563567,null,null,1,null,null,0.999783545175186,null,null
21 Des 2020,6 JMw 1442,674926,674926,null,null,82792,82792,null,null,1,null,null,-0.743820384646922,null,null
22 Des 2020,7 JMw 1442,743044,743044,null,null,68118,68118,null,null,1,null,null,-0.097236763633954,null,null
23 Des 2020,8 JMw 1442,1238755,1238755,null,null,495711,495711,null,null,1,null,null,0.75837354942722,null,null
24 Des 2020,9 JMw 1442,1326582,1326582,null,null,87827,87827,null,null,1,null,null,-0.698984470591461,null,null
25 Des 2020,10 JMw 1442,1370278,1370278,null,null,43696,43696,null,null,1,null,null,-0.335538270872775,null,null
26 Des 2020,11 JMw 1442,2343563,2343563,null,null,973285,973285,null,null,1,null,null,0.914067224461421,null,null
27 Des 2020,12 JMw 1442,2510680,2510666,14,null,167117,167103,null,null,0.999994423821435,5.5761785651696E-06,null,-0.706927907878099,null,null
28 Des 2020,13 JMw 1442,2872040,2871989,51,null,361360,361323,37,null,0.999982242587151,1.77574128494032E-05,null,0.367508898211275,null,null
29 Des 2020,14 JMw 1442,3131922,3131137,785,null,259882,259148,734,null,0.999749355188284,0.000250644811716256,null,-0.164468918714446,0.00112194603713207,null
30 Des 2020,15 JMw 1442,4110363,4109452,911,null,978441,978315,126,null,0.999778365073839,0.000221634926161023,null,0.580758816560784,-0.000490986600426545,null
31 Des 2020,16 JMw 1442,4375701,4374641,1060,null,265338,265189,149,null,0.999757753100589,0.000242246899411089,null,-0.57335426952859,1.84920311405804E-05,null
1 Jan 2021,17 JMw 1442,4482174,4481107,1067,null,106473,106466,7,null,0.999761945877157,0.000238054122843067,null,-0.426891619666981,-0.000381914467296557,null
2 Jan 2021,18 JMw 1442,6840867,6839509,1358,null,2358693,2358402,291,null,0.999801487150678,0.000198512849321585,null,0.913502782368408,0.00011520522350219,null
3 Jan 2021,19 JMw 1442,8483122,8459757,23365,null,1642255,1620248,22007,null,0.997245707417623,0.0027542925823771,null,-0.184494774738387,0.00542771363186925,null
4 Jan 2021,20 JMw 1442,9265135,9241717,23418,null,782013,781960,53,null,0.99747245992638,0.00252754007362008,null,-0.345790151913897,-0.0090559294599442,null
5 Jan 2021,21 JMw 1442,9984929,9961473,23456,null,719794,719756,38,null,0.997650859610519,0.00234914038948099,null,-0.0414194367185664,-9.98796782808976E-06,null
6 Jan 2021,22 JMw 1442,11010573,10986674,23899,null,1025644,1025201,443,null,0.997829449929627,0.00217055007037327,null,0.174996190068052,0.00023203344948374,null
7 Jan 2021,23 JMw 1442,12164305,12139736,24569,null,1153732,1153062,670,null,0.997980238081831,0.0020197619181696,null,0.0586686280843691,0.00010415825447284,null
8 Jan 2021,24 JMw 1442,13440265,13414418,25847,null,1275960,1274682,1278,null,0.998076898037353,0.00192310196264731,null,0.0500557272279779,0.000250237478659847,null
9 Jan 2021,25 JMw 1442,13728805,13701967,26838,null,288540,287549,991,null,0.998045132114558,0.00195486788544232,null,-0.630957494407159,-0.0001834451901566,null
10 Jan 2021,26 JMw 1442,16367603,15715373,652230,null,2638798,2013406,625392,null,0.9601511595803,0.0398488404196998,null,0.589565332052534,0.213299933249936,null
11 Jan 2021,27 JMw 1442,19354223,18661937,692286,null,2986620,2946564,40056,null,0.96423075212061,0.0357692478793905,null,0.165882428647969,-0.104052001113517,null
12 Jan 2021,28 JMw 1442,20484498,19740363,744135,null,1130275,1078426,51849,null,0.963673261604946,0.0363267383950537,null,-0.453773535637902,0.00286453747302275,null
13 Jan 2021,29 JMw 1442,21780165,20959332,820833,null,1295667,1218969,76698,null,0.962312819944202,0.0376871800557985,null,0.0579333718613223,0.0102430313667845,null
14 Jan 2021,1 JMk 1442,24657978,22413414,2244464,100,2877813,1454082,1423631,null,0.908972098198806,0.0910238463186235,4.05548257038756E-06,0.0563350010063544,0.322736181795528,null
15 Jan 2021,2 JMk 1442,26927047,24365191,2561754,102,2269069,1951777,317290,2,0.904859378007548,0.0951368339796042,3.78801284819683E-06,0.0966983505741923,-0.214953636007198,null
16 Jan 2021,3 JMk 1442,27788955,25196037,2592814,104,861908,830846,31060,2,0.906692497073028,0.093303760432877,3.74249409522596E-06,-0.358013169691122,-0.0914187488442106,0
17 Jan 2021,4 JMk 1442,28477320,25768742,2708463,115,688365,572705,115649,11,0.904886485104638,0.0951094765940053,4.03830135700972E-06,-0.166513252827083,0.0545639380934842,5.80542910829254E-06
18 Jan 2021,5 JMk 1442,29789700,26911630,2877935,135,1312380,1142888,169472,20,0.90338707674129,0.0966083914910187,4.53176769151754E-06,0.284985342959748,0.0269014791989984,4.49832437417062E-06
19 Jan 2021,6 JMk 1442,34625058,31107304,3517603,151,4835358,4195674,639668,16,0.89840438678832,0.101591252208155,4.36100352525041E-06,0.496570608571803,0.0764827648803511,-6.50645814769595E-07
20 Jan 2021,7 JMk 1442,37102509,33172824,3929521,164,2477451,2065520,411918,13,0.894085734201965,0.105909845611789,4.42018624670369E-06,-0.291290802207469,-0.0311439831123717,-4.10239075025753E-07
21 Jan 2021,8 JMk 1442,39890861,35405053,4485609,199,2788352,2232229,556088,35,0.887547977467822,0.112447033920877,4.9886113012201E-06,0.0316587992372673,0.0273785403669678,4.17790031263988E-06
22 Jan 2021,9 JMk 1442,43348435,38321756,5026466,213,3457574,2916703,540857,14,0.884040127400216,0.115954958927583,4.9136722006227E-06,0.109587273368272,-0.00243854954413485,-3.3621916109797E-06
23 Jan 2021,10 JMk 1442,46231666,40770444,5461006,216,2883231,2448688,434540,3,0.881872697384516,0.118122630493134,4.67212235007927E-06,-0.0738100288528034,-0.0167671139547739,-1.73479550309464E-06
24 Jan 2021,11 JMk 1442,48595792,42699168,5896406,218,2364126,1928724,435400,2,0.878659781900458,0.121335732114418,4.48598512397946E-06,-0.0990906469676067,0.000163892031740932,-1.90572129931316E-07
25 Jan 2021,12 JMk 1442,51206438,44801356,6404815,267,2610646,2102188,508409,49,0.874916470464124,0.125078315347769,5.21418810658144E-06,0.0348687336826693,0.0146758484609948,9.44766915951123E-06
26 Jan 2021,13 JMk 1442,53500892,46543534,6957038,320,2294454,1742178,552223,53,0.869958093408985,0.130035925382328,5.9812086871374E-06,-0.0733950378177815,0.0089323357321971,8.15477768037349E-07
27 Jan 2021,14 JMk 1442,56716741,49040103,7676288,350,3215849,2496569,719250,30,0.864649522087315,0.135344306895208,6.1710174778907E-06,0.13690553858835,0.0303117632551241,-4.17399914305983E-06
28 Jan 2021,15 JMk 1442,60544998,51931625,8612975,398,3828257,2891522,936687,48,0.857736009835197,0.14225741654166,6.57362314224538E-06,0.0560685770486702,0.0308679341281917,2.55532781590737E-06
29 Jan 2021,16 JMk 1442,64291751,54774606,9516692,453,3746753,2842981,903717,55,0.851969422951321,0.148023531043664,7.04600501548014E-06,-0.00640804434581605,-0.00435246950169043,9.24091189318562E-07
30 Jan 2021,17 JMk 1442,67772266,57446526,10325264,476,3480515,2671920,808572,23,0.84764062632936,0.152352350148658,7.02352198169086E-06,-0.0236688330915638,-0.0131647255920218,-4.42767585206471E-06
31 Jan 2021,18 JMk 1442,70651667,59569763,11081421,483,2879401,2123237,756157,7,0.843147310310456,0.156845853332802,6.83635674158969E-06,-0.0862720513918737,-0.00824146105074344,-2.51575649741286E-06
1 Feb 2021,19 JMk 1442,73258089,61495488,11762060,541,2606422,1925725,680639,58,0.839436147453969,0.160556467696011,7.38485001977051E-06,-0.0360040781483471,-0.0137660292721803,9.29669076089404E-06
2 Feb 2021,20 JMk 1442,75572493,63200672,12371218,603,2314404,1705184,609158,62,0.836292009051495,0.163700011854842,7.97909366308718E-06,-0.0448178822010776,-0.0145262197850523,8.12871660164371E-07
3 Feb 2021,21 JMk 1442,78917297,65573488,13343076,733,3344804,2372816,971858,130,0.830914013692081,0.169076698103332,9.28820458713886E-06,0.117972691585112,0.0640902401890865,1.20158156406338E-05
4 Feb 2021,22 JMk 1442,83116763,68620253,14495721,789,4199466,3046765,1152645,56,0.825588612010793,0.174401895319239,9.49266996839133E-06,0.0893325663052886,0.0239634848699742,-9.80876877418226E-06
5 Feb 2021,23 JMk 1442,87069808,71508012,15560925,871,3953045,2887759,1065204,82,0.821272191159535,0.178717805372903,1.00034675624873E-05,-0.0195039295255167,-0.0107256525014195,3.18920146197901E-06
6 Feb 2021,24 JMk 1442,91071510,74403017,16667608,885,4001702,2895005,1106683,14,0.816973573843236,0.183016708518394,9.71763837011158E-06,0.000910902634615532,0.00521437073988651,-8.54835483768371E-06
7 Feb 2021,25 JMk 1442,94557910,76648459,17908561,890,3486400,2245442,1240953,5,0.810598066306669,0.189392521471763,9.41222156877198E-06,-0.0867460138764135,0.0179311125836694,-1.20190670479649E-06
8 Feb 2021,26 JMk 1442,97510276,78791106,18718226,944,2952366,2142647,809665,54,0.808028745606258,0.191961573362791,9.68103095103536E-06,-0.0159650156567268,-0.0669830212807858,7.6101538710989E-06
